title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14572,LA E14572,137 mm,53-17-145,,/lenskart-air-la-e14572-c3-eyeglasses.html
Blue Sky Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Extra Wide,Frame + Lens,e15417,LA E15417-XW,144 mm,51-21-150,,/lenskart-hustlr-la-e15417-xw-c22-eyeglasses.html
Black Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14362,LA E14362,140 mm,55-16-145,Black,/lenskart-air-la-e14362-c3-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e14736,LA E14736,142 mm,56-16-145,Black,/lenskart-air-la-e14736-c1-eyeglasses.html
Jade Green Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15417,LA E15417-W,139 mm,49-21-150,,/lenskart-hustlr-la-e15417-c16-eyeglasses.html
Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e12709,LA E12709,140 mm,51-19-140,Transparent,/lenskar-air-la-e12709-c2-eyeglasses.html
Transparent Blue Full Rim Square,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e13519,LA E13519,144 mm,55-19-148,,/lenskart-air-la-e13519-c3-eyeglasses.html
Grey Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14360,LA E14360,136 mm,52-16-145,Grey Transparent,/lenskart-air-la-e14360-c1-eyeglasses.html
Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e15019,LA E15019,137 mm,53-17-140,Transparent,/lenskart-air-la-e15019-c3-eyeglasses.html
Grey Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14017,LA E14017,139 mm,55-16-145,,/lenskart-air-la-e14017-c2-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e11821,LA E11821,138 mm,50-20-145,Transparent,/lenskart-air-la-e11821-full-rim-wayfarer-stainless-steel-c1-eyeglasses.html
Grey Transparent Full Rim Geometric,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e14958,LA E14958,143 mm,58-13-140,Grey Transparent,/lenskart-air-la-e14958-c2-eyeglasses.html
Black Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e12489,LA E12489,140 mm,53-18-145,Black,/lenskart-air-la-e12489-c6-eyeglasses.html
Blue Block Phone Computer Glasses: Dark Night Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C1,1700,,TRYUS,Lenskart Hustlr,Medium,,e14058,LB E14058-W,139 mm,50-20-145,,/lenskart-hustlr-lb-e14058-c1-eyeglasses.html
Crystal Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e16985,LH E16985-W,139 mm,50-20-145,,/lenskart-hustlr-lh-e16985-w-c5-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15308,LA E15308,139 mm,52-19-145,Transparent,/lenskart-air-la-e15308-c3-eyeglasses.html
Amber Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15417,LA E15417-W,139 mm,50-20-145,,/lenskart-hustlr-la-e15417-c2-eyeglasses.html
Blue Block Screen Glasses: Transparent Full Rim Square Lenskart Blu LB E13526-C2,1500,700,TRYUS,Lenskart Blu,Medium,,e13526,LB E13526,135 mm,51-17-135,,/vincent-chase-vc-e13526-c2-eyeglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14363,LA E14363,141 mm,55-15-145,Blue,/lenskart-air-la-e14363-c1-eyeglasses.html
Matte Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e13776,LA E13776,135 mm,51-17-142,,/lenskar-air-la-e13776-c1-eyeglasses.html
Ocean Blue Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15415,LA E15417-W,139 mm,50-21-150,,/lenskart-hustlr-la-e15415-c1-eyeglasses.html
Grey Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e13519,LA E13519,144 mm,55-19-148,Grey Transparent,/lenskart-air-la-e13519-c4-eyeglasses.html
Black Transparent Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14101,LA E14101,138 mm,52-18-145,Black Transparent,/lenskart-air-la-e14101-c1-c1-eyeglasses.html
Black Full Rim Square,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,air,LA E13646,142 mm,55-16-148,Black,/lenskart-air-lenskart-air-la-e13646-full-rim-aviator-tr90-c1-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e10592,LA E10592,137 mm,52-17-140,Transparent,/lenskart-air-la-e10592-c9-c9-eyeglasses.html
Blue Block Phone Computer Glasses: Grey Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C39,1700,,TRYUS,Lenskart Hustlr,Medium,,e14058,LB E14058-W,139 mm,49-21-150,,/lenskart-hustlr-lb-e14058-H-c39-eyeglasses.html
Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e11824,LA E11824,135 mm,52-17-145,,/lenskart-air-la-e11824-full-rim-hexagonal-tr90-c1-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e14832,LA E14832,142 mm,55-17-146,,/lenskart-air-la-e14832-c2-eyeglasses.html
Graphite Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Narrow,Frame + Lens,e16985,LH E16985-N,134 mm,49-19-145,,/lenskart-hustlr-lh-e16985-N-c4-eyeglasses.html
Blue Block Phone Computer Glasses: Navy Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C34,1700,,TRYUS,Lenskart Hustlr,Medium,,e14058,LB E14058-W,139 mm,49-21-150,,/lenskart-hustlr-lb-e14058-c34-eyeglasses.html
Blue Sky Blue Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Narrow,Frame + Lens,e15417,LA E15417-N,134 mm,45-21-145,,/lenskart-hustlr-la-e15417-s-c1-eyeglasses.html
Light Sky Blue Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15389,LA E15389,138 mm,54-16-145,Light Sky Blue Transparent,/lenskart-air-la-e15389-c2-eyeglasses.html
Matte Dark Blue Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e11412,LA E11412-N,142 mm,55-17-140,,/lenskart-air-la-e11412-n-full-rim-rectangle-clip-on-c5-eyeglasses.html
Grey Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14573,LA E14573,136 mm,51-19-145,Grey Transparent,/lenskart-air-la-e14573-c1-eyeglasses.html
Greystone Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Extra Wide,Frame + Lens,e15417,LA E15417-XW,144 mm,51-21-150,,/lenskart-hustlr-la-e15417-xw-c23-eyeglasses.html
Brown Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15844,LA E15844,138 mm,52-19-140,Brown Transparent,/lenskart-air-la-e15844-c4-eyeglasses.html
Pink Transparent Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14101,LA E14101,138 mm,52-18-145,Pink Transparent,/lenskart-air-la-e14101-c2-c2-eyeglasses.html
Black Silver Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,air,LA E11289,144 mm,55-19-140,Black Silver,/lenskart-air-lenskart-air-la-e11289-rectangle-tr90-c1-eyeglasses.html
Sky Blue Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14573,LA E14573,136 mm,51-19145,,/lenskart-air-la-e14573-c2-eyeglasses.html
Black Yellow Brown Wooden Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,solid,LA E11413,143 mm,55-16-140,Black Yellow Brown Wooden,/blue-balck-green-solid-full-rim-rectangle-lenskart-air-clip-on-la-e11413-c4-eyeglasses.html
Blue Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e13643,LA E13643,140 mm,53-18-148,Blue Transparent,/lenskart-air-la-e13643-c3-eyeglasses.html
Midnight Blue Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15417,LA E15417-W,139 mm,50-20-145,,/lenskart-hustlr-la-e15417-c3-eyeglasses.html
Matte Black Rimless Rectangle,1700,1200,SINGLE,Lenskart Air,Extra Narrow,Frame + Lens,0353,LA 0353,123 mm,51-18-142,,/lenskart-air-la-0353-rimless-rectangle-tr90-c2-eyeglasses.html
Blue Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e14832,LA E14832,142 mm,55-17-146,,/lenskart-air-la-e14832-c3-eyeglasses.html
Grey Transparent Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e15849,LA E15849,137 mm,51-18-145,Grey Transparent,/lenskart-air-la-e15849-c2-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e15017,LA E15017,135 mm,52-17-140,,/lenskart-air-la-e15017-c4-eyeglasses.html
Blue Block Phone Computer Glasses: Jade Green Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C35,1700,,TRYUS,Lenskart Hustlr,Medium,,e14058,LB E14058-W,139 mm,49-21-150,,/lenskart-hustlr-lb-e14058-c35-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e13643,LA E13643,140 mm,53-18-148,Grey Transparent,/lenskart-air-la-e13643-c1-eyeglasses.html
Sky Blue Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14368,LA E14368,135 mm,53-16-140,Sky Blue Transparent,/lenskart-air-la-e14368-c2-eyeglasses.html
Denim Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e16985,LH E16985-W,139 mm,50-20-145,,/lenskart-hustlr-lh-e16985-w-c1-eyeglasses.html
Grey Transparent Full Rim Round,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e15851,LA E15851,137 mm,51-20-145,Grey Transparent,/lenskart-air-la-e15851-c1-eyeglasses.html
Matte Dark Blue Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e11415,LA E11415,139 mm,53-18-140,Matte Dark Blue,/lenskart-air-la-e11415-full-rim-rectangle-clip-on-c3-eyeglasses.html
Matte Black Half Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e11889,LA E11889,136 mm,52-16-140,Matte Black,/lenskar-air-la-e11889-c3-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15494,LA E15494,140 mm,56-15-145,Black,/lenskart-air-la-e15494-c1-eyeglasses.html
Transparent Full Rim Geometric,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e14961,LA E14961,132 mm,50-18-140,Transparent,/lenskart-air-la-e14961-c2-eyeglasses.html
Black Sky Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14572,LA E14572,137 mm,53-17-145,,/lenskart-air-la-e14572-c2-eyeglasses.html
Grey Green Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14962,LA E14962,140 mm,57-14-143,Grey Green Transparent,/lenskart-air-la-e14962-c1-eyeglasses.html
Tortoise Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e11821,LA E11821,138 mm,50-20-145,Tortoise,/lenskart-air-la-e11821-c5-eyeglasses.html
Blue Block Screen Glasses: Blue Full Rim Square Lenskart Blu LB E13526-C4,1500,700,TRYUS,Lenskart Blu,Medium,,e13526,LB E13526,135 mm,51-17-135,Blue,/vincent-chase-vc-e13526-c4-eyeglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16153,LA E16153,135 mm,52-17-140,,/lenskart-air-la-e16153-c-c3-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e11481,LA E11481,133 mm,52-17-145,Black,/lenskart-air-la-e11481-full-rim-rectangle-ultem-c1-eyeglasses.html
Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14963,LA E14963,136 mm,51-19-143,Transparent,/lenskart-air-la-e14963-c2-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14529,LA E14529,136 mm,52-17-145,Grey Transparent,/lenskart-air-la-e14529-c2-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15846,LA E15846,139 mm,53-18-140,Black,/lenskart-air-la-e15846-c2-eyeglasses.html
Blue Full Rim Round,3000,2000,SINGLE,Lenskart Air,Medium,Frame + Lens,e15851,LA E15851,137 mm,51-20-145,Blue,/lenskart-air-la-e15851-c2-eyeglasses.html
Blue Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14529,LA E14529,136 mm,52-17-145,Blue Transparent,/lenskart-air-la-e14529-c3-eyeglasses.html
Greystone Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Narrow,Frame + Lens,e15417,LA E15417-N,134 mm,45-21-145,,/lenskart-hustlr-la-e15417-s-c2-eyeglasses.html
Blue Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14532,LA E14532,137 mm,50-19-145,Blue Transparent,/lenskart-air-la-e14532-c2-eyeglasses.html
Matte Dark Blue Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Narrow,Frame + Lens,e11411,LA E11411-N,132 mm,49-18-140,,/lenskart-air-la-e11411-n-full-rim-rectangle-clip-on-c2-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14368,LA E14368,135 mm,53-16-140,Grey Transparent,/lenskart-air-la-e14368-c1-eyeglasses.html
Matte Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Extra Wide,Frame + Lens,e13063,LA E13063,145 mm,54-17-140,Matte Black,/lenskart-air-la-e13063-c1-eyeglasses.html
Sapphire Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e16985,LH E16985-W,139 mm,50-20-145,,/lenskart-hustlr-lh-e16985-w-c3-eyeglasses.html
Green Full Rim Round,1700,1200,SINGLE,Lenskart Air,Extra Narrow,Frame + Lens,e11491,LA E11491,128 mm,48-17-145,,/lenskart-air-la-e11491-c11-eyeglasses.html
Sand Dune Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15417,LA E15417-W,139 mm,49-21-150,,/lenskart-hustlr-la-e15417-c12-eyeglasses.html
Olive Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e16985,LH E16985-W,139 mm,50-20-145,,/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15844,LA E15844,138 mm,52-19-140,Grey Transparent,/lenskart-air-la-e15844-c1-eyeglasses.html
Blue Block Screen Glasses: Gunmetal Grey Transparent Full Rim Square Lenskart BLU LB E13529-C5,2000,900,TRYUS,Lenskart Blu,Medium,,e13529,LB E13529,136 mm,49-22-147,Gunmetal Grey Transparent,/vincent-chase-vc-e13529-c5-eyeglasses.html
Silver Black Transparent Full Rim Square,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e15324,LA E15324,138 mm,54-15-145,Silver Black Transparent,/lenskart-air-la-e15324-c2-eyeglasses.html
Black Full Rim Round,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e11482,LA E11482,131 mm,50-17-145,Black,/lenskar-air-la-e11482-c1-eyeglasses.html
Green Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e12852,LA E12852,135 mm,52-16-140,Green,/lenskart-air-la-e12852-c4-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e11478,LA E11478,131 mm,51-16-145,Black,/lenskar-air-la-e11478-c1-eyeglasses.html
Black Transparent Full Rim Square,1700,1200,SINGLE,Lenskart STUDIO,Medium,Frame + Lens,c1,LK E15511,136 mm,50-18-140,Black Transparent,/lenskart-lk-e15511-c1-eyeglasses.html
Blue Full Rim Wayfarer,2000,1500,SINGLE,Lenskart Hustlr,Medium,,s15999,VC S15999,141 mm,49-21-150,,/vincent-chase-vc-s15999-c3-sunglasses.html
Black Gunmetal Full Rim Square,1700,600,TRYUS,Vincent Chase Online,Medium,Frame + Lens,rim,VC E11797,134 mm,53-17-140,Black Gunmetal,/black-gunmetal-full-rim-square-medium-size-53-vincent-chase-hd-acetate-vc-e11797-c1-colored-lens-tinted-eyeglasses.html
Blue Half Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e12666,VC E11860,134 mm,50-18-140,Blue,/vincent-chase-vc-e12666-c2-eyeglasses.html
Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e15018,LA E15018,133 mm,50-20-140,Transparent,/lenskart-air-la-e15018-c3-eyeglasses.html
Black Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e11259,VC E11259,130 mm,48-19-145,,/vincent-chase-vc-e11259-c7-eyeglasses.html
Grey Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e15017,LA E15017,135 mm,52-17-140,,/lenskart-air-la-e15017-c2-eyeglasses.html
Pink Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14835,LA E14835,135 mm,52-16-142,Pink Transparent,/lenskart-air-la-e14835-c2-eyeglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e12852,LA E12852,135 mm,52-16-140,Blue,/lenskart-air-la-e12852-c5-eyeglasses.html
Blue Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14198,LA E14198,134 mm,53-15-145,Blue,/lenskart-air-la-e14198-c4-eyeglasses.html
Blue Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16458,VC E16458,138 mm,55-17-145,Blue,/vincent-chase-vc-e16458-c2-eyeglasses.html
Green Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15844,LA E15844,138 mm,52-19-140,Green Transparent,/lenskart-air-la-e15844-c3-eyeglasses.html
Green Transparent Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e15850,LA E15850,139 mm,53-17-145,Green Transparent,/lenskart-air-la-e15850-c1-eyeglasses.html
Monza Red Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e15417,LA E15417-W,139 mm,50-20-145,,/lenskart-hustlr-la-e15417-c6-eyeglasses.html
Grey Transparent Full Rim Rectangle,3000,2000,SINGLE,Lenskart Air,Wide,Frame + Lens,e15850,LA E15850,139 mm,53-17-145,Grey Transparent,/lenskart-air-la-e15850-c3-eyeglasses.html
Matte Black Half Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13396,VC E13396,130 mm,52-15-140,Matte Black,/vincent-chase-vc-e13396-c1-eyeglasses.html
Matte Black Half Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e11860,VC E11860,134 mm,50-18-140,Matte Black,/vincent-chase-vc-e11860-c5-eyeglasses.html
Black Full Rim Square,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e14353,VC E14353,137 mm,52-17-145,,/vincent-chase-vc-e14353-c2-eyeglasses.html
Jade Green Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Extra Wide,Frame + Lens,e15417,LA E15417-XW,144 mm,51-21-150,,/lenskart-hustlr-la-e15417-xw-c21-eyeglasses.html
Transparent Full Rim Wayfarer,1000,800,SINGLE,Hooper,8-12 yrs,Frame + Lens,c3,HP E10086,125 mm,47-17-130,,/hooper-hp-e10086-c3-eyeglasses.html
Purple Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16610,VC E16610,135 mm,53-18-140,Purple,/vincent-chase-vc-e16610-c1-eyeglasses.html
Graphite Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Medium,Frame + Lens,e16985,LH E16985-W,139 mm,50-20-145,,/lenskart-hustlr-lh-e16985-w-c4-eyeglasses.html
Pink Transparent Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e13451,VC E13451,133 mm,51-18-140,Pink Transparent,/vincent-chase-vc-e13451-c4-eyeglasses.html
Black Transparent Full Rim Square,1700,1200,SINGLE,Lenskart STUDIO,Wide,Frame + Lens,c2,LK E15513,138 mm,52-18-140,,/lenskart-lk-e15513-c2-eyeglasses.html
Black Full Rim Aviator,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e13046,VC E13046,140 mm,56-16-145,Black,/vincent-chase-vc-e13046-c3-eyeglasses.html
Navy Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Extra Wide,Frame + Lens,xw,LA E15417-XW,144 mm,52-20-150,Navy,/lenskart-la-e15417-xw-c28-eyeglasses.html
Blue Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14360,LA E14360,136 mm,52-16-145,Blue,/lenskart-air-la-e14360-c2-eyeglasses.html
Sapphire Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Narrow,Frame + Lens,e16985,LH E16985-N,134 mm,49-19-145,,/lenskart-hustlr-lh-e16985-N-c3-eyeglasses.html
Copper Brown Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16230,VC E16230,134 mm,49-20-140,Copper Brown,/vincent-chase-vc-e16230-c2-eyeglasses.html
Lavender Full Rim Geometric,1700,1200,SINGLE,Lenskart STUDIO,Narrow,Frame + Lens,C1,LK E15939,133 mm,51-18-140,,/lenskart-LK-E15939-C1-eyeglasses.html
Blue Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16434,LA E16434,135 mm,52-17-145,Blue,/lenskart-air-la-e16434-c1-eyeglasses.html
Black Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart STUDIO,Medium,Frame + Lens,C2,LK E15940,134 mm,53-16-140,,/lenskart-LK-E15940-C2-eyeglasses.html
Matte Grey Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e12489,LA E12489,141 mm,53-18-145,Matte Grey,/lenskar-air-la-e12489-c2-eyeglasses.html
Silver Full Rim Aviator,1700,1200,SINGLE,Vincent Chase,Extra Wide,Frame + Lens,e16005,VC E16037,143 mm,58-15-145,,/vincent-chase-vc-e16005-c1-eyeglasses.html
Brown Tortoise Full Rim Round,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e11262,VC E11262,132 mm,48-19-145,Brown Tortoise,/vincent-chase-vc-e11262-c2-eyeglasses.html
Crystal Full Rim Wayfarer,1700,1200,₹1700,Lenskart Hustlr,Narrow,Frame + Lens,e16985,LH E16985-N,134 mm,49-19-145,,/lenskart-hustlr-lh-e16985-N-c5-eyeglasses.html
Black Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e15478,VC E15478,135 mm,52-17-145,Black,/vincent-chase-vc-e15478-c2-eyeglasses.html
Black Full Rim Round,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e14364,LA E14364,135 mm,49-18-140,Black,/lenskart-air-la-e14364-c1-eyeglasses.html
Blue Block Phone Computer Glasses: Amber Orange Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C18,1700,,TRYUS,Lenskart Hustlr,Medium,,e14058,LB E14058-W,139 mm,50-20-145,,/lenskart-hustlr-lb-e14058-H-c18-eyeglasses.html
Tortoise Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16640,LA E16640,134 mm,53-14-147,Tortoise,/lenskart-air-la-e16640-c3-eyeglasses.html
Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16642,LA E16642,131 mm,52-16-145,Transparent,/lenskart-air-la-e16642-c1-eyeglasses.html
Black Full Rim Aviator,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e11483,LA E11483,134 mm,53-14-145,Black,/lenskar-air-la-e11483-c1-eyeglasses.html
Brown Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16644,LA E16644,133 mm,50-19-150,Brown Transparent,/lenskart-air-la-e16644-c1-eyeglasses.html
Blue Transparent Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16641,LA E16641,136 mm,53-16-147,Blue Transparent,/lenskart-air-la-e16641-c2-eyeglasses.html
Black Full Rim Square,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16458,VC E16458,138 mm,55-17-145,Black,/vincent-chase-vc-e16458-c1-eyeglasses.html
Green Transparent Full Rim Cat Eye,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16608,VC E16608,139 mm,52-18-140,Green Transparent,/vincent-chase-vc-e16608-c2-eyeglasses.html
Black Full Rim Hexagonal,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,jacobs,JJ E12699,137 mm,53-18-145,Black,/john-jacobs-john-jacobs-jj-e12699-c3-eyeglass.html
Blue White Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15393,LA E15393,140 mm,54-16-145,Blue White Transparent,/lenskart-air-la-e15393-c1-eyeglasses.html
Blue Transparent Full Rim Square,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16607,VC E16607,135 mm,52-18-145,Blue Transparent,/vincent-chase-vc-e16607-c1-eyeglasses.html
Transparent Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e14416,JJ E14416,136 mm,53-16-140,Transparent,/john-jacobs-jj-e14416-c3-eyeglasses.html
Black Gold Full Rim Square,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e14208,VC E14208,136 mm,53-18-145,Black Gold,/vincent-chase-vc-e14208-c1-eyeglasses.html
Black Half Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e14802,LA E14802,140 mm,54-18-145,Black,/lenskart-air-la-e14802-c2-eyeglasses.html
