title,price,discountedPrice,coupon,brand,size,extraDetail,productID,modelNo,frameWidth,frameDimensions,frameColour,link
Navy Full Rim Wayfarer,1700,1200,SINGLE,Lenskart Hustlr,Extra Narrow,Frame + Lens,c17,HP E15011,125 mm,46-18-130,,/lenskart-hp-e15011-c17-eye.html
Blue Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16457,VC E16457,134 mm,50-20-145,Blue,/vincent-chase-vc-e16457-c1-eyeglasses.html
Black Transparent Grey Full Rim Wayfarer,3500,2500,SINGLE,John Jacobs,Narrow,Frame + Lens,rim,JJ E10004,133 mm,50-17-140,Black Transparent Grey,/grey-transparent-full-rim-wayfarer-medium-size-50-john-jacobs-bond-street-jj-e10004-c5-eyeglasses.html
Black Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e16694,VC E16694,139 mm,56-16-140,Black,/vincent-chase-vc-e16694-c2-eyeglasses.html
Black Full Rim Aviator,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s15373,VC S15373,137 mm,55-16-140,Black,/vincent-chase-vc-s15373-c1-sunglasses.html
Black Full Rim Geometric,1700,1200,SINGLE,Lenskart Air,Narrow,Frame + Lens,e16163,LA E16163,133 mm,50-21-145,Black,/lenskart-air-la-e16163-c3-eyeglasses.html
Purple Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16348,LA E16348,134 mm,52-17-145,Purple,/lenskart-air-la-e16348-c3-eyeglasses.html
Blue Block Screen Glasses: Blue Full Rim Wayfarer Lenskart Blu LB E13740-C3,1500,700,TRYUS,Lenskart Blu,Wide,,e13740,LB E13740,139 mm,52-17-142,Blue,/lenskart-blu-lb-e13740-c3-eyeglasses.html
Blue Transparent Full Rim Round,1700,1200,SINGLE,Lenskart Air,Wide,Frame + Lens,e15847,LA E15847,138 mm,51-20-140,Blue Transparent,/lenskart-air-la-e15847-c3-eyeglasses.html
Green Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16153,LA E16153,135 mm,52-17-140,Green,/lenskart-air-la-e16153-c1-eyeglasses.html
Gold Half Rim Square,3500,2500,SINGLE,John Jacobs,Medium,Frame + Lens,e13555,JJ E13555,138 mm,54-17-145,Gold,/john-jacobs-jj-e13555-c5-eyeglasses.html
Brown Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16242,LA E16242,134 mm,49-18-145,Brown,/lenskart-air-la-e16242-c2-eyeglasses.html
Gold Full Rim Geometric,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s16401,VC S16401,139 mm,54-17-145,Gold,/vincent-chase-vc-s16401-c1-sunglasses.html
Gold Brown Tortoise Full Rim Clubmaster,6000,5000,SINGLE,John Jacobs,Wide,,s15452,JJ S15452,139 mm,52-18-140,Gold Brown Tortoise,/john-jacobs-jj-s15452-c2-sunglasses.html
Gold Rimless Oval,5000,4000,₹5000,John Jacobs,Medium,Frame + Lens,e16576,JJ E16576,136 mm,54-17-140,,/john-jacobs-jj-e16576-c2-eye.html
Blue Tortoise Full Rim Square,1700,600,TRYUS,Vincent Chase Online,Extra Narrow,Frame + Lens,e14170,VC E14170,129 mm,47-20-144,Blue Tortoise,/vincent-chase-vc-e14170-c1-eyeglasses.html
Gunmetal Full Rim Aviator,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e13625,VC E13625,138 mm,54-16-145,Gunmetal,/vincent-chase-vc-e13625-full-rim-aviator-metal-steel-escobar-c3-eyeglasses.html
Silver Full Rim Aviator,2000,1500,SINGLE,Vincent Chase Polarized,Medium,,s15372,VC S15372,138 mm,56-14-140,,/vincent-chase-vc-s15372-c1-sunglasses.html
Black Full Rim Rectangle,5000,4000,SINGLE,John Jacobs,Extra Wide,Frame + Lens,e16686,JJ E16686,143 mm,53-19-140,Black,/john-jacobs-jj-e16686-c1-eyeglasses.html
Silver Blue Rimless Rectangle,5000,4000,SINGLE,John Jacobs,Medium,Frame + Lens,e14684,JJ E14684,134 mm,53-16-145,Silver Blue,/john-jacobs-jj-e14684-c2-eyeglasses.html
Gold Black Full Rim Round,5000,4000,SINGLE,John Jacobs,Medium,Frame + Lens,e15289,JJ E15289,136 mm,50-22-140,Gold Black,/john-jacobs-jj-e15289-c1-eyeglasses.html
Tortoise Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Extra Narrow,Frame + Lens,e11801,VC E11801,127 mm,49-15-140,Tortoise,/vincent-chase-vc-e11801-c17-eyeglasses.html
Gunmetal Full Rim Round,2000,1500,SINGLE,Vincent Chase,Medium,,s16528,VC S16528,136 mm,52-20-142,Gunmetal,/vincent-chase-vc-s16528-c3-sunglasses.html
Transparent Full Rim Round,5000,4000,SINGLE,John Jacobs,Wide,,s12432,JJ S12432,140 mm,50-22-145,Transparent,/john-jacobs-jj-s12432-c2-sunglasses.html
Black Full Rim Aviator,1500,1000,SINGLE,Vincent Chase Polarized,Medium,,s11075,VC S11075,138 mm,55-16-140,,/vincent-chase-vc-s11075-c10-sunglasses.html
Purple Transparent Full Rim Cat Eye,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16242,LA E16242,134 mm,49-18-145,Purple Transparent,/lenskart-air-la-e16242-c3-eyeglasses.html
Gunmetal Full Rim Geometric,1700,1200,SINGLE,Vincent Chase,Narrow,Frame + Lens,e16656,VC E16656,133 mm,51-17-140,Gunmetal,/vincent-chase-vc-e16656-c1-eyeglasses.html
Green Transparent Full Rim Rectangle,3500,2500,SINGLE,John Jacobs,Wide,Frame + Lens,e11724,JJ E11724,139 mm,52-18-145,Green Transparent,/john-jacobs-jj-e11724-c5-eyeglasses.html
Blue Half Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Wide,Frame + Lens,e13111,VC E13111,139 mm,52-17-140,Blue,/vincent-chase-vc-e13111-c5-eyeglasses.html
Blue Black Full Rim Square,1700,1200,₹1700,Lenskart Air,Narrow,Frame + Lens,e16569,LA E16569,133 mm,49-19-145,Blue Black,/lenskart-air-la-e16569-c2-eyeglasses.html
Gold Black Full Rim Clubmaster,2000,1500,SINGLE,Vincent Chase Polarized,Extra Wide,,s15752,VC S15752,146 mm,54-20-144,Gold Black,/vincent-chase-vc-s15752-c1-sunglasses.html
Black Grey Full Rim Square,1700,1200,₹1700,Lenskart Air,Medium,Frame + Lens,e16570,LA E16570,136 mm,51-17-145,,/lenskart-air-la-e16570-c1-eyeglasses.html
Gold Blue Full Rim Cat Eye,2000,1500,SINGLE,Lenskart STUDIO,Narrow,,s16331,LK S16331,134 mm,51-18-148,Gold Blue,/vincent-chase-vc-s16331-c1-sunglasses.html
Black Full Rim Aviator,3500,2500,₹3500,John Jacobs,Medium,Frame + Lens,e11545,JJ E11545,139 mm,56-14-145,Black,/john-jacobs-jj-e11545-c5-eyeglasses.html
Gunmetal Black Full Rim Round,1500,1000,SINGLE,Vincent Chase Polarized,Narrow,,s15746,VC S15746,134 mm,48-22-145,Gunmetal Black,/vincent-chase-vc-s15746-c3-sunglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e10502,VC E10502-M,134 mm,49-19-140,Blue,/vincent-chase-vc-e10502-m-c1-eyeglasses.html
Gold Full Rim Round,2000,1500,SINGLE,Vincent Chase,Medium,,s16528,VC S16528,136 mm,52-20-142,Gold,/vincent-chase-vc-s16528-c2-sunglasses.html
Gold Full Rim Round,1700,1200,SINGLE,Vincent Chase,Medium,Frame + Lens,e16654,VC E16654,136 mm,53-17-140,Gold,/vincent-chase-vc-e16654-c1-eyeglasses.html
Transparent Full Rim Square,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16155,LA E16155,137 mm,53-17-140,Transparent,/lenskart-air-la-e16155-c1-eyeglasses.html
Black Full Rim Rectangle/ Square,2000,1500,SINGLE,Vincent Chase,Medium,,s16525,VC S16525,136 mm,55-15-142,Black,/vincent-chase-vc-s16525-c3-sunglasses.html
Blue Full Rim Rectangle,1700,1200,SINGLE,Lenskart Air,Medium,Frame + Lens,e16349,LA E16349,137 mm,54-16-145,Blue,/lenskart-air-la-e16349-c3-eyeglasses.html
Black Full Rim Wayfarer,2000,1500,SINGLE,Vincent Chase Polarized,Wide,,s16754,VC S16754,141 mm,51-17-145,Black,/vincent-chase-vc-s16754-c2-sunglasses.html
